"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C48","D10.5_x_L5.5","69mm","109.5mm","69mm","109.5mm","66.2mm","109.5mm","T","360.00","EECS0HD334V"
"C47","_0805","158.5mm","36mm","158.5mm","36mm","157.625mm","36mm","T","0.00","100n"
"C46","_0805","170.7mm","14.4mm","170.7mm","14.4mm","171.575mm","14.4mm","T","180.00","100n"
"C44","_0805","170.7mm","24.4mm","170.7mm","24.4mm","169.825mm","24.4mm","T","0.00","100n"
"C42","_0805","5.8mm","105.4mm","5.8mm","105.4mm","4.925mm","105.4mm","T","0.00","100n"
"C41","_0805","141.5mm","40.1mm","141.5mm","40.1mm","140.625mm","40.1mm","T","360.00","18p"
"C40","_0805","128mm","36.1mm","128mm","36.1mm","128mm","36.975mm","T","270.00","10u"
"C39","_0805","101.6mm","18.2mm","101.6mm","18.2mm","100.725mm","18.2mm","T","0.00","4n7"
"C38","_0805","97.9mm","18.2mm","97.9mm","18.2mm","97.025mm","18.2mm","T","0.00","4n7"
"C37","_0805","94.2mm","18.2mm","94.2mm","18.2mm","93.325mm","18.2mm","T","0.00","4n7"
"C36","_0805","149.2mm","40.1mm","149.2mm","40.1mm","150.075mm","40.1mm","T","180.00","18p"
"C35","_0805","131.4mm","36.1mm","131.4mm","36.1mm","131.4mm","36.975mm","T","270.00","1u"
"C34","_0805","104.5mm","19.2mm","104.5mm","19.2mm","104.5mm","20.075mm","T","270.00","470n"
"C33","_0805","135mm","12mm","135mm","12mm","135mm","11.125mm","T","90.00","100n"
"C32","_0805","132.5mm","12mm","132.5mm","12mm","132.5mm","11.125mm","T","90.00","100n"
"C31","_0805","126.5mm","12mm","126.5mm","12mm","126.5mm","11.125mm","T","90.00","100n"
"C30","_0805","119mm","24mm","119mm","24mm","118.125mm","24mm","T","360.00","100n"
"C29","_0805","119mm","26.5mm","119mm","26.5mm","118.125mm","26.5mm","T","360.00","100n"
"C28","_0805","125mm","36.1mm","125mm","36.1mm","125mm","36.975mm","T","270.00","100n"
"C26","_0805","143mm","27.5mm","143mm","27.5mm","143.875mm","27.5mm","T","180.00","100n"
"C25","_0805","143mm","20.5mm","143mm","20.5mm","143.875mm","20.5mm","T","180.00","100n"
"C24","_0805","84mm","92.7mm","84mm","92.7mm","84mm","91.825mm","T","90.00","27p"
"C23","_0805","92mm","24mm","92mm","24mm","92mm","23.125mm","T","90.00","100n"
"C22","_0805","84mm","101.3mm","84mm","101.3mm","84mm","102.175mm","T","270.00","27p"
"C21","_0805","53.5mm","106.5mm","53.5mm","106.5mm","53.5mm","105.625mm","T","90.00","1u"
"C20","_0805","45mm","99.5mm","45mm","99.5mm","44.125mm","99.5mm","T","0.00","1u"
"C19","_0805","51.5mm","106.5mm","51.5mm","106.5mm","51.5mm","107.375mm","T","270.00","1u"
"C16","_0805","51.5mm","103mm","51.5mm","103mm","51.5mm","102.125mm","T","90.00","1u"
"C15","_0805","38.5mm","102.5mm","38.5mm","102.5mm","38.5mm","101.625mm","T","90.00","1u"
"C14","_1206","141.1mm","112mm","141.1mm","112mm","139.725mm","112mm","T","360.00","1u/50V"
"C11","_0805","75mm","94.5mm","75mm","94.5mm","74.125mm","94.5mm","T","0.00","100n"
"C10","_0805","88.9mm","91.5mm","88.9mm","91.5mm","88.9mm","92.375mm","T","270.00","4u7"
"C9","8.5_x_8.5","189mm","22mm","189mm","22mm","186mm","22mm","T","180.00","470u/16V"
"C8","_0805","187mm","29mm","187mm","29mm","186.125mm","29mm","T","360.00","100n"
"C7","_0805","84mm","97mm","84mm","97mm","84mm","97.875mm","T","270.00","1u"
"C6","_0805","90.9mm","91.5mm","90.9mm","91.5mm","90.9mm","92.375mm","T","270.00","4u7"
"C5","_0805","86.9mm","91.5mm","86.9mm","91.5mm","86.9mm","92.375mm","T","270.00","4u7"
"C4","_0805","148mm","114mm","148mm","114mm","148.875mm","114mm","T","180.00","4n7"
"C3","_0805","205mm","29mm","205mm","29mm","205.875mm","29mm","T","180.00","100n"
"C1","8.5_x_8.5","203mm","22mm","203mm","22mm","200mm","22mm","T","180.00","470u/16V"
"MOD2","DC-DC_(50.8x50.8)","141mm","84mm","141mm","84mm","143.54mm","106.86mm","T","270.00","LD25-12S05S3.3"
"C2","X2_15MM","192mm","113mm","192mm","113mm","192mm","120.5mm","T","270.00","R46KI3330"
"F1","Fuse_5.1mm_pitch","177.2mm","106.8mm","177.2mm","106.8mm","179.74mm","106.8mm","T","180.00","TRF600-150-2"
"J1","MD-60SM","74mm","124.85mm","74mm","132.7mm","72.7mm","124.2mm","T","360.00","MD-60SM"
"J2","DB15F_R/A_VGA","100mm","121mm","100mm","121mm","95.6399mm","118.46mm","T","180.00","TE1734530"
"J3","DB9M_R/A","48mm","123mm","48mm","123mm","53.588mm","121.58mm","T","360.00","DB9-M"
"J4","STX-3500","110mm","9.2mm","110mm","0.5mm","113.6mm","2.9mm","T","180.00","STX-3500-5N"
"MOD1","ECCO_AC-DC_(70x48)","196mm","66mm","172mm","101mm","216mm","97mm","T","270.00","LA25-220S3.3S05"
"SW1","E201MD1ABE","208mm","119.345mm","208mm","127.6mm","203.301mm","114.9mm","T","180.00","E201MD1ABE"
"SW2","SKHH-HORIZONTAL","4.25mm","116.75mm","4.25mm","116.75mm","3mm","119mm","T","270.00","SKHHLSA010"
"X1","771W-AX2/01","172mm","114.3mm","172mm","114.3mm","178.9mm","114.3mm","T","180.00","771W-AX2/01"
"X2","KON-SIM-01","18.73mm","106mm","18.73mm","106mm","22.54mm","111mm","T","180.00","KON-SIM-01"
"X3","KLD-0202","140.85mm","121.9mm","138.5mm","132.5mm","143.2mm","118.8mm","T","270.00","PJ-002A"
"X5","745-072-520-206","58mm","82mm","58mm","82mm","102.45mm","84.54mm","T","180.00","745-072-520-206"
"X6","745-072-520-206","58mm","62mm","58mm","62mm","102.45mm","64.54mm","T","180.00","745-072-520-206"
"X7","745-072-520-206","58mm","42mm","58mm","42mm","102.45mm","44.54mm","T","180.00","745-072-520-206"
"X10","SD-RSMT","33.77mm","17.125mm","33mm","31mm","39.88mm","31mm","T","0.00","SD-RSMT"
"X11","SD-RSMT","72.77mm","17.125mm","72mm","31mm","78.88mm","31mm","T","0.00","SD-RSMT"
"C12","8.5_x_8.5","143mm","49mm","143mm","49mm","146mm","49mm","T","360.00","470u/16V"
"C18","8.5_x_8.5","129mm","49mm","129mm","49mm","126mm","49mm","T","180.00","470u/16V"
"C13","_0805","141mm","56mm","141mm","56mm","141.875mm","56mm","T","180.00","100n"
"C17","_0805","131mm","56mm","131mm","56mm","131.875mm","56mm","T","180.00","100n"

